epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,723.955,1.26985,1.00961,1.2145,0.72971,0.83422,0.78494,0.40056,1.7137,1.19741,1.55701,0.000404375,0.000404375,0.000404375
43,738.824,1.30698,1.02707,1.25416,0.72878,0.84304,0.76123,0.37915,1.84248,1.23468,1.65754,0.00038375,0.00038375,0.00038375
44,754.637,1.20698,0.9741,1.19343,0.79366,0.72318,0.85078,0.46862,1.60465,1.11503,1.51542,0.000363125,0.000363125,0.000363125
45,770.547,1.22044,0.97717,1.18256,0.73379,0.67059,0.76109,0.41108,1.68947,1.23708,1.55631,0.0003425,0.0003425,0.0003425
46,789.548,1.29252,0.95972,1.23126,0.71603,0.72121,0.77033,0.40376,1.61067,1.27144,1.48524,0.000321875,0.000321875,0.000321875
47,804.785,1.24289,0.94623,1.20195,0.63981,0.73615,0.74129,0.39986,1.67265,1.29961,1.56307,0.00030125,0.00030125,0.00030125
48,822.078,1.15772,0.90185,1.17291,0.71016,0.67576,0.73454,0.40878,1.64151,1.16537,1.57532,0.000280625,0.000280625,0.000280625
49,837.721,1.18962,0.90742,1.16921,0.61497,0.71547,0.7258,0.42683,1.62017,1.13691,1.51214,0.00026,0.00026,0.00026
50,855.282,1.17025,0.86974,1.15195,0.66641,0.76046,0.74503,0.40585,1.64127,1.199,1.54934,0.000239375,0.000239375,0.000239375
51,885.793,1.10082,0.87357,1.17392,0.7377,0.77401,0.76119,0.40825,1.61702,1.24901,1.52594,0.00021875,0.00021875,0.00021875
52,901.366,1.08126,0.78362,1.12409,0.71821,0.73013,0.78269,0.44215,1.5637,1.23973,1.47189,0.000198125,0.000198125,0.000198125
53,918.455,1.05368,0.74632,1.10575,0.72866,0.80887,0.79824,0.43876,1.58796,1.17227,1.51452,0.0001775,0.0001775,0.0001775
54,934.249,1.07002,0.74109,1.1261,0.74938,0.79066,0.81066,0.45395,1.57362,1.13273,1.49786,0.000156875,0.000156875,0.000156875
55,953.324,1.01339,0.7056,1.08526,0.74871,0.80263,0.80297,0.45222,1.56254,1.12575,1.49173,0.00013625,0.00013625,0.00013625
56,968.18,1.01445,0.71611,1.10731,0.76645,0.77796,0.81253,0.47897,1.50392,1.08168,1.48104,0.000115625,0.000115625,0.000115625
57,988.354,0.96833,0.67204,1.08517,0.67789,0.88139,0.81227,0.47261,1.53878,1.10138,1.49601,9.5e-05,9.5e-05,9.5e-05
58,1002.25,0.93468,0.64734,1.06226,0.75416,0.74959,0.81737,0.473,1.61292,1.13533,1.51766,7.4375e-05,7.4375e-05,7.4375e-05
59,1020.42,0.90739,0.67157,1.06085,0.74206,0.72379,0.80657,0.44906,1.64143,1.11994,1.51498,5.375e-05,5.375e-05,5.375e-05
60,1035.2,0.9614,0.66156,1.06997,0.75,0.7375,0.80766,0.44686,1.63668,1.09525,1.51036,3.3125e-05,3.3125e-05,3.3125e-05
